Maze#1
3,3,3,9,7,3,1,1,3,11
13,5,3,10,5,9,14,4,3,9
4,10,7,1,10,6,9,6,9,12
6,3,3,10,5,11,6,9,14,12
5,9,5,11,4,1,11,6,3,8
12,12,12,5,10,6,3,3,9,12
12,6,8,12,5,3,3,9,6,10
6,9,12,6,10,5,3,10,5,11
5,10,14,5,9,6,9,7,2,9
6,3,3,10,6,3,2,3,3,2

Maze#2
3,9,5,9,5,9,5,9,7,9
13,6,10,6,10,6,10,12,5,8
4,1,11,5,3,1,11,12,12,12
12,6,9,6,9,6,9,12,12,14
12,5,8,5,10,13,6,10,6,9
12,12,14,6,3,8,7,1,9,12
12,12,5,1,11,12,5,10,6,10
12,12,12,12,5,10,6,9,5,9
12,6,10,6,10,5,9,6,10,12
6,3,3,3,3,10,6,3,3,2

Maze#3
9,5,9,7,1,9,7,1,1,9
12,12,6,3,10,6,9,14,12,12
6,10,7,3,3,9,6,3,10,12
7,1,3,1,3,2,3,9,13,12
5,10,5,10,5,3,9,6,10,12
6,9,14,5,2,11,12,5,3,10
5,8,5,10,13,5,8,6,9,13
12,12,12,5,8,12,4,11,6,8
12,14,6,10,12,12,14,5,9,12
6,3,3,3,10,6,3,10,6,2

Maze#4
9,7,1,3,9,5,3,3,9,13
6,3,10,5,10,12,5,9,12,12
7,1,9,6,9,12,14,12,6,8
5,10,12,13,12,4,9,4,11,12
4,9,6,10,12,12,12,12,5,10
12,6,9,5,10,12,12,4,10,13
12,13,12,12,13,12,12,12,7,8
6,8,12,12,12,12,12,12,5,8
13,12,12,12,6,10,12,6,10,12
6,10,6,2,3,3,10,7,3,2

Maze#5
9,5,9,13,5,1,9,5,9,13
12,12,12,6,10,12,6,10,12,12
6,10,12,5,3,10,5,11,12,12
5,3,10,12,5,3,2,3,10,12
6,9,5,10,12,7,1,3,9,12
13,6,10,13,6,3,10,13,6,8
4,3,9,4,9,5,3,8,5,10
12,5,8,12,6,10,13,12,12,13
12,12,14,6,9,7,8,12,6,8
14,6,3,3,2,3,10,6,3,2
